"table","section","group_label","characteristic","gender","metric","value"
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Males","Did not use SPF30 or higher sunscreen on most days",656.5
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Males","Total",927.9
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Females","Used SPF30 or higher sunscreen on most days",412.3
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Females","Did not use SPF30 or higher sunscreen on most days",613.2
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Females","Total",1035.8
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Persons","Used SPF30 or higher sunscreen on most days",686.8
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Persons","Did not use SPF30 or higher sunscreen on most days",1267.9
"Table 1a","Estimate ('000)","Remoteness area","Outer regional and remote","Persons","Total",1970.8
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Males","Used SPF30 or higher sunscreen on most days",1865.3
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Males","Did not use SPF30 or higher sunscreen on most days",5339.2
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Males","Total",7208.5
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Females","Used SPF30 or higher sunscreen on most days",3435.9
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Females","Did not use SPF30 or higher sunscreen on most days",3911.3
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Females","Total",7364.4
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Persons","Used SPF30 or higher sunscreen on most days",5283.8
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Persons","Did not use SPF30 or higher sunscreen on most days",9248.6
"Table 1a","Estimate ('000)","Country of birth","Born in Australia","Persons","Total",14580.1
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Males","Used SPF30 or higher sunscreen on most days",1019.3
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Males","Did not use SPF30 or higher sunscreen on most days",2413.5
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Males","Total",3458.1
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Females","Used SPF30 or higher sunscreen on most days",1935.6
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Females","Did not use SPF30 or higher sunscreen on most days",1678.8
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Females","Total",3647.4
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Persons","Used SPF30 or higher sunscreen on most days",2960.5
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Persons","Did not use SPF30 or higher sunscreen on most days",4092.5
"Table 1a","Estimate ('000)","Country of birth","Born overseas","Persons","Total",7089.4
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Males","Used SPF30 or higher sunscreen on most days",2135.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Males","Did not use SPF30 or higher sunscreen on most days",5316
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Males","Total",7443.7
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Females","Used SPF30 or higher sunscreen on most days",3726.6
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Females","Did not use SPF30 or higher sunscreen on most days",3098
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Females","Total",6832.1
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Persons","Used SPF30 or higher sunscreen on most days",5854.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Persons","Did not use SPF30 or higher sunscreen on most days",8405.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Employed","Persons","Total",14284.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Males","Used SPF30 or higher sunscreen on most days",267.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Males","Did not use SPF30 or higher sunscreen on most days",799.1
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Males","Total",1071.6
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Females","Used SPF30 or higher sunscreen on most days",429.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Females","Did not use SPF30 or higher sunscreen on most days",296.8
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Females","Total",734.1
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Persons","Used SPF30 or higher sunscreen on most days",699.8
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Persons","Did not use SPF30 or higher sunscreen on most days",1111.6
"Table 1a","Estimate ('000)","Labour force status and Occupation","Managers","Persons","Total",1801
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Males","Used SPF30 or higher sunscreen on most days",461.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Males","Did not use SPF30 or higher sunscreen on most days",1286.8
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Males","Total",1740.3
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Females","Used SPF30 or higher sunscreen on most days",1262.1
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Females","Did not use SPF30 or higher sunscreen on most days",901.8
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Females","Total",2166.4
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Persons","Used SPF30 or higher sunscreen on most days",1721
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Persons","Did not use SPF30 or higher sunscreen on most days",2188.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Professionals","Persons","Total",3901.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Males","Used SPF30 or higher sunscreen on most days",524
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Males","Did not use SPF30 or higher sunscreen on most days",1060.5
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Males","Total",1590.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Females","Used SPF30 or higher sunscreen on most days",146.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Females","Did not use SPF30 or higher sunscreen on most days",150.7
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Females","Total",324.5
